单词,English,Arabic
爱（一级）,love,حب
八（一级）,eight,ثمانية.
爸爸（一级）,dad?,أبــي
杯子（一级）,cup,كوب
北京（一级）,beijing,بكين
本（一级）,root,بين
不（一级）,no.,لا، لا، لا، لا
不客气（一级）,you're welcome.,على الرحب والسعة
菜（一级）,dish,طبق
茶（一级）,tea,شاي
吃（一级）,eat,كل
出租车（一级）,taxi,تاكسي
打电话（一级）,make a phone call,مكالمة هاتفية
大（一级）,big,كبير
的（一级）,of,يستخدم للملكيه
点（一级）,point,نقطة
电脑（一级）,computer,كمبيوتر
电视（一级）,tv,تلفزيون
电影（一级）,movie,فيلم
东西（一级）,thing,أشياء
都（一级）,all,الكل
读（一级）,read,اقرأ
对不起（一级）,sorry.,أنا آسف
多（一级）,many,الكثير
多少（一级）,how much?,كم؟
儿子（一级）,son,ابنـــي
二（一级）,two,اثنان
饭店（一级）,hotel,مطعم
飞机（一级）,aircraft,طائرة
分钟（一级）,minute,دقائق
高兴（一级）,happy,سعيد
个（一级）,a,عدد
工作（一级）,work,العمل
狗（一级）,dog,كلب
汉语（一级）,chinese,اللغه الصينيه
好（一级）,ok,جيد
号（一级）,number,رقم
喝（一级）,drink,شرب
和（一级）,and,و
很（一级）,very,جدا
后面（一级）,back,خلف
回（一级）,back,رجوع
会（一级）,can,سوف/قدره
几（一级）,how many,قليل
家（一级）,home,بيت
叫（一级）,call,دعا
今天（一级）,today,اليوم
九（一级）,nine,التاسعة
开（一级）,open,افتح
看（一级）,look.,انظــر
看见（一级）,see,رأى
块（一级）,block,قطعـــة
来（一级）,come,تعال
老师（一级）,teacher,معلم
了（一级）,done,علامة الزمن الماضي
冷（一级）,cold,برد
里（一级）,inside,وسط
六（一级）,six,ستــة
妈妈（一级）,mom?,أمي
吗（一级）,,ماذا؟
买（一级）,buy,اشتري
猫（一级）,cat,قطة
没关系（一级）,that's okay.,لا بأس
没有（一级）,nope.,لا
米饭（一级）,rice,أرز
名字（一级）,name,الاسم
明天（一级）,tomorrow,غــداً
哪（一级）,where,أين؟
哪儿（一级）,where,أين؟
那（一级）,that,ذلك
呢（一级）,,يستخدم للاسئله المتبادله
能（一级）,can,يمكن
你（一级）,you,انت
年（一级）,year,سنه
女儿（一级）,daughter,ابنتي
朋友（一级）,friend,صديق
漂亮（一级）,beautiful,جميلة
苹果（一级）,apple,تفاحة
七（一级）,seven,سبعة
前面（一级）,front,أمام
钱（一级）,money,نقود
请（一级）,please,من فضلك
去（一级）,go,ذهاب
热（一级）,hot,ساخن
人（一级）,person,الناس
认识（一级）,know,التعرف على
三（一级）,three,ثلاثة
商店（一级）,store,محل تجاري
上（一级）,up,اعلى
上午（一级）,morning,الصباح
少（一级）,less,أقل
谁（一级）,who?,من؟
什么（一级）,what!,ماذا
十（一级）,ten,عشرة
时候（一级）,time,وقت
是（一级）,yes,نعم
书（一级）,book,كتاب
水（一级）,water,ماء
水果（一级）,fruit,فاكهة
睡觉（一级）,sleep,النوم
说（一级）,say,التحدث
四（一级）,four,أربعة
岁（一级）,year old,عمر
他（一级）,he,هو
她（一级）,she,هي
太（一级）,too,جدا
天气（一级）,weather,الطقس
听（一级）,listen,الاستماع
同学（一级）,classmate,زملاء الدراسة
喂（叹词）（一级）,hello,مرحباً
我（一级）,I,أنا
我们（一级）,we,نحن
五（一级）,five,خمسة
喜欢（一级）,like,احب
下（一级）,down,التالي
下午（一级）,afternoon,بعد الظهر
下雨（一级）,rain,إنها تمطر
先生（一级）,sir?,سيدي.
现在（一级）,now.,الان
想（一级）,think,أريد أن
小（一级）,small,صغير
小姐（一级）,miss,آنسة
些（一级）,some,البعض
写（一级）,write,أكتب
谢谢（一级）,thanks.,شكراً لك
星期（一级）,week,الأسبوع
学生（一级）,student,طالب
学习（一级）,learn,الدراسة
学校（一级）,school,المدرسة
一（一级）,one,واحد
一点儿（一级）,a little bit.,القليل
衣服（一级）,clothes,الملابس
医生（一级）,doctor,طبيب
医院（一级）,hospital,مستشفى
椅子（一级）,chair,كرسي
有（一级）,yes.,يوجد
月（一级）,month,شهر
再见（一级）,goodbye!,الى اللقاء
在（一级）,exist,في
怎么（一级）,how,كيف
怎么样（一级）,how did it go?,كيف تسير الأمور؟
这（一级）,this,هذا
中国（一级）,china,الصين
中午（一级）,noon,الظهر
住（一级）,live,البقاء
桌子（一级）,table,الطاولة
字（一级）,word,كلمة
昨天（一级）,yesterday,الأمس
坐（一级）,sit,اجلس
做（一级）,do,افعل
吧（二级）,,للاقتراح
白（二级）,white,أبيض
百（二级）,hundred,مائة
帮助（二级）,help,المساعدة
报纸（二级）,newspaper,الصحف
比（二级）,than,للمقارنه
别（二级）,do not,لا
宾馆（二级）,hotel,فندق
长（形容词）（二级）,long,طويل (صفة)
唱歌（二级）,sing,غناء (صفة)
出（二级）,out,خارج
穿（二级）,wear,لبس
次（二级）,time,مرات (صفة)
从（二级）,from,من
